period,close,eps,ret,periodend
2019-02-10,41895.597472861,3609.81610716365,8.6337227442275,16-Feb-2019
2019-02-17,44624.8789754724,3791.40275531789,8.53504010206835,23-Feb-2019
2019-02-24,44231.6760839433,4005.61598538409,9.06356214942472,02-Mar-2019
2019-03-03,42290.672489721,3672.8768695281,8.70072927766236,09-Mar-2019
2019-03-10,44017.7340355365,3732.59061707458,8.5025953442748,16-Mar-2019
2019-03-17,42456.8570592896,3668.89500381648,8.64106326097853,23-Mar-2019
2019-03-24,42712.0416366812,3559.21447715198,8.3591082291485,30-Mar-2019
2019-03-31,42226.7988922586,3223.00456070372,7.64943700465692,06-Apr-2019
2019-04-07,43541.9707295177,3565.43098344982,8.18110346357406,13-Apr-2019
2019-04-14,42359.1282561217,3384.56934049273,7.99357188722184,20-Apr-2019
2019-04-21,43533.7564725514,3413.49875866006,7.81784957214908,27-Apr-2019
2019-04-28,43249.5934007448,3372.12691617399,7.79527998173476,04-May-2019
2019-05-05,40032.2329305647,3246.18969462904,8.11192175480432,11-May-2019
2019-05-12,42336.0476199588,3343.02238749718,7.89871101608083,18-May-2019
2019-05-19,44558.7741615435,3676.61117070344,8.26087190269441,25-May-2019
2019-05-26,43493.9952942622,3605.11564725179,8.29877740680554,01-Jun-2019
2019-06-02,40868.7527686949,3275.04455651219,8.01092762938656,08-Jun-2019
2019-06-09,45856.7121469559,3682.01220116364,8.03268156200994,15-Jun-2019
2019-06-16,43080.0142740382,3192.17583408216,7.41943720425907,22-Jun-2019
2019-06-23,43684.3323922131,3304.54812939896,7.56715776670271,29-Jun-2019
2019-06-30,43929.0361058063,3541.66633313588,8.06108662907627,06-Jul-2019
2019-07-07,42890.597676738,3319.44592949723,7.74024257682429,13-Jul-2019
2019-07-14,44519.2544278801,3543.6841849389,7.96594025336437,20-Jul-2019
2019-07-21,44947.2292604276,3416.57789459732,7.60427232261751,27-Jul-2019
2019-07-28,45957.5335136859,3525.15716683097,7.67428169213131,03-Aug-2019
2019-08-04,46325.3173812613,3625.84737293618,7.82895629577593,10-Aug-2019
2019-08-11,45701.5652885751,3605.9773546075,7.89207547186122,17-Aug-2019
2019-08-18,47295.592728869,3532.05083080568,7.48303875328828,24-Aug-2019
2019-08-25,42195.6376749726,3389.67537442416,8.03312124008183,31-Aug-2019
